180)swap count : 2728, And comparison : 1364
181)swap count : 2746, And comparison : 1373
182)swap count : 2764, And comparison : 1382
183)swap count : 2782, And comparison : 1391
184)swap count : 2800, And comparison : 1400
185)swap count : 2818, And comparison : 1409
186)swap count : 2836, And comparison : 1418
187)swap count : 2854, And comparison : 1427
188)swap count : 2872, And comparison : 1436
189)swap count : 2890, And comparison : 1445
190)swap count : 2908, And comparison : 1454
191)swap count : 2926, And comparison : 1463
192)swap count : 2944, And comparison : 1472
193)swap count : 2962, And comparison : 1481
194)swap count : 2980, And comparison : 1490
195)swap count : 2998, And comparison : 1499
196)swap count : 3016, And comparison : 1508
197)swap count : 3034, And comparison : 1517
198)swap count : 3052, And comparison : 1526
199)swap count : 3070, And comparison : 1535
200)swap count : 3088, And comparison : 1544
201)swap count : 3106, And comparison : 1553
202)swap count : 3124, And comparison : 1562
203)swap count : 3142, And comparison : 1571
204)swap count : 3160, And comparison : 1580
205)swap count : 3178, And comparison : 1589
206)swap count : 3196, And comparison : 1598
207)swap count : 3214, And comparison : 1607
208)swap count : 3232, And comparison : 1616
209)swap count : 3250, And comparison : 1625
210)swap count : 3268, And comparison : 1634
211)swap count : 3286, And comparison : 1643
212)swap count : 3304, And comparison : 1652
213)swap count : 3322, And comparison : 1661
214)swap count : 3340, And comparison : 1670
215)swap count : 3358, And comparison : 1679
216)swap count : 3376, And comparison : 1688
217)swap count : 3394, And comparison : 1697
218)swap count : 3412, And comparison : 1706
219)swap count : 3430, And comparison : 1715
220)swap count : 3448, And comparison : 1724
221)swap count : 3466, And comparison : 1733
222)swap count : 3484, And comparison : 1742
223)swap count : 3502, And comparison : 1751
224)swap count : 3520, And comparison : 1760
225)swap count : 3538, And comparison : 1769
226)swap count : 3556, And comparison : 1778
227)swap count : 3574, And comparison : 1787
228)swap count : 3592, And comparison : 1796
229)swap count : 3610, And comparison : 1805
230)swap count : 3628, And comparison : 1814
231)swap count : 3646, And comparison : 1823
232)swap count : 3664, And comparison : 1832
233)swap count : 3682, And comparison : 1841
234)swap count : 3700, And comparison : 1850
235)swap count : 3718, And comparison : 1859
236)swap count : 3736, And comparison : 1868
237)swap count : 3754, And comparison : 1877
238)swap count : 3772, And comparison : 1886
239)swap count : 3790, And comparison : 1895
240)swap count : 3808, And comparison : 1904
241)swap count : 3826, And comparison : 1913
242)swap count : 3844, And comparison : 1922
243)swap count : 3862, And comparison : 1931
244)swap count : 3880, And comparison : 1940
245)swap count : 3898, And comparison : 1949
246)swap count : 3916, And comparison : 1958
247)swap count : 3934, And comparison : 1967
248)swap count : 3952, And comparison : 1976
249)swap count : 3970, And comparison : 1985
250)swap count : 3988, And comparison : 1994
251)swap count : 4006, And comparison : 2003
252)swap count : 4024, And comparison : 2012
253)swap count : 4042, And comparison : 2021
254)swap count : 4060, And comparison : 2030
255)swap count : 4078, And comparison : 2039
256)swap count : 4096, And comparison : 2048
257)swap count : 4116, And comparison : 2058
258)swap count : 4136, And comparison : 2068
259)swap count : 4156, And comparison : 2078
260)swap count : 4176, And comparison : 2088
261)swap count : 4196, And comparison : 2098
262)swap count : 4216, And comparison : 2108
263)swap count : 4236, And comparison : 2118
264)swap count : 4256, And comparison : 2128
265)swap count : 4276, And comparison : 2138
266)swap count : 4296, And comparison : 2148
267)swap count : 4316, And comparison : 2158
268)swap count : 4336, And comparison : 2168
269)swap count : 4356, And comparison : 2178
270)swap count : 4376, And comparison : 2188
271)swap count : 4396, And comparison : 2198
272)swap count : 4416, And comparison : 2208
273)swap count : 4436, And comparison : 2218
274)swap count : 4456, And comparison : 2228
275)swap count : 4476, And comparison : 2238
276)swap count : 4496, And comparison : 2248
277)swap count : 4516, And comparison : 2258
278)swap count : 4536, And comparison : 2268
279)swap count : 4556, And comparison : 2278
280)swap count : 4576, And comparison : 2288
281)swap count : 4596, And comparison : 2298
282)swap count : 4616, And comparison : 2308
283)swap count : 4636, And comparison : 2318
284)swap count : 4656, And comparison : 2328
285)swap count : 4676, And comparison : 2338
286)swap count : 4696, And comparison : 2348
287)swap count : 4716, And comparison : 2358
288)swap count : 4736, And comparison : 2368
289)swap count : 4756, And comparison : 2378
290)swap count : 4776, And comparison : 2388
291)swap count : 4796, And comparison : 2398
292)swap count : 4816, And comparison : 2408
293)swap count : 4836, And comparison : 2418
294)swap count : 4856, And comparison : 2428
295)swap count : 4876, And comparison : 2438
296)swap count : 4896, And comparison : 2448
297)swap count : 4916, And comparison : 2458
298)swap count : 4936, And comparison : 2468
299)swap count : 4956, And comparison : 2478
300)swap count : 4976, And comparison : 2488
301)swap count : 4996, And comparison : 2498
302)swap count : 5016, And comparison : 2508
303)swap count : 5036, And comparison : 2518
304)swap count : 5056, And comparison : 2528
305)swap count : 5076, And comparison : 2538
306)swap count : 5096, And comparison : 2548
307)swap count : 5116, And comparison : 2558
308)swap count : 5136, And comparison : 2568
309)swap count : 5156, And comparison : 2578
310)swap count : 5176, And comparison : 2588
311)swap count : 5196, And comparison : 2598
312)swap count : 5216, And comparison : 2608
313)swap count : 5236, And comparison : 2618
314)swap count : 5256, And comparison : 2628
315)swap count : 5276, And comparison : 2638
316)swap count : 5296, And comparison : 2648
317)swap count : 5316, And comparison : 2658
318)swap count : 5336, And comparison : 2668
319)swap count : 5356, And comparison : 2678
320)swap count : 5376, And comparison : 2688
321)swap count : 5396, And comparison : 2698
322)swap count : 5416, And comparison : 2708
323)swap count : 5436, And comparison : 2718
324)swap count : 5456, And comparison : 2728
325)swap count : 5476, And comparison : 2738
326)swap count : 5496, And comparison : 2748
327)swap count : 5516, And comparison : 2758
328)swap count : 5536, And comparison : 2768
329)swap count : 5556, And comparison : 2778
330)swap count : 5576, And comparison : 2788
331)swap count : 5596, And comparison : 2798
332)swap count : 5616, And comparison : 2808
333)swap count : 5636, And comparison : 2818
334)swap count : 5656, And comparison : 2828
335)swap count : 5676, And comparison : 2838
336)swap count : 5696, And comparison : 2848
337)swap count : 5716, And comparison : 2858
338)swap count : 5736, And comparison : 2868
339)swap count : 5756, And comparison : 2878
340)swap count : 5776, And comparison : 2888
341)swap count : 5796, And comparison : 2898
342)swap count : 5816, And comparison : 2908
343)swap count : 5836, And comparison : 2918
344)swap count : 5856, And comparison : 2928
345)swap count : 5876, And comparison : 2938
346)swap count : 5896, And comparison : 2948
347)swap count : 5916, And comparison : 2958
348)swap count : 5936, And comparison : 2968
349)swap count : 5956, And comparison : 2978
350)swap count : 5976, And comparison : 2988
351)swap count : 5996, And comparison : 2998
352)swap count : 6016, And comparison : 3008
353)swap count : 6036, And comparison : 3018
354)swap count : 6056, And comparison : 3028
355)swap count : 6076, And comparison : 3038
356)swap count : 6096, And comparison : 3048
357)swap count : 6116, And comparison : 3058
358)swap count : 6136, And comparison : 3068
359)swap count : 6156, And comparison : 3078
360)swap count : 6176, And comparison : 3088
361)swap count : 6196, And comparison : 3098
362)swap count : 6216, And comparison : 3108
363)swap count : 6236, And comparison : 3118
364)swap count : 6256, And comparison : 3128
365)swap count : 6276, And comparison : 3138
366)swap count : 6296, And comparison : 3148
367)swap count : 6316, And comparison : 3158
368)swap count : 6336, And comparison : 3168
369)swap count : 6356, And comparison : 3178
370)swap count : 6376, And comparison : 3188
371)swap count : 6396, And comparison : 3198
372)swap count : 6416, And comparison : 3208
373)swap count : 6436, And comparison : 3218
374)swap count : 6456, And comparison : 3228
375)swap count : 6476, And comparison : 3238
376)swap count : 6496, And comparison : 3248
377)swap count : 6516, And comparison : 3258
378)swap count : 6536, And comparison : 3268
379)swap count : 6556, And comparison : 3278
380)swap count : 6576, And comparison : 3288
381)swap count : 6596, And comparison : 3298
382)swap count : 6616, And comparison : 3308
383)swap count : 6636, And comparison : 3318
384)swap count : 6656, And comparison : 3328
385)swap count : 6676, And comparison : 3338
386)swap count : 6696, And comparison : 3348
387)swap count : 6716, And comparison : 3358
388)swap count : 6736, And comparison : 3368
389)swap count : 6756, And comparison : 3378
390)swap count : 6776, And comparison : 3388
391)swap count : 6796, And comparison : 3398
392)swap count : 6816, And comparison : 3408
393)swap count : 6836, And comparison : 3418
394)swap count : 6856, And comparison : 3428
395)swap count : 6876, And comparison : 3438
396)swap count : 6896, And comparison : 3448
397)swap count : 6916, And comparison : 3458
398)swap count : 6936, And comparison : 3468
399)swap count : 6956, And comparison : 3478
400)swap count : 6976, And comparison : 3488
401)swap count : 6996, And comparison : 3498
402)swap count : 7016, And comparison : 3508
403)swap count : 7036, And comparison : 3518
404)swap count : 7056, And comparison : 3528
405)swap count : 7076, And comparison : 3538
406)swap count : 7096, And comparison : 3548
407)swap count : 7116, And comparison : 3558
408)swap count : 7136, And comparison : 3568
409)swap count : 7156, And comparison : 3578
410)swap count : 7176, And comparison : 3588
411)swap count : 7196, And comparison : 3598
412)swap count : 7216, And comparison : 3608
413)swap count : 7236, And comparison : 3618
414)swap count : 7256, And comparison : 3628
415)swap count : 7276, And comparison : 3638
416)swap count : 7296, And comparison : 3648
417)swap count : 7316, And comparison : 3658
418)swap count : 7336, And comparison : 3668
419)swap count : 7356, And comparison : 3678
420)swap count : 7376, And comparison : 3688
421)swap count : 7396, And comparison : 3698
422)swap count : 7416, And comparison : 3708
423)swap count : 7436, And comparison : 3718
424)swap count : 7456, And comparison : 3728
425)swap count : 7476, And comparison : 3738
426)swap count : 7496, And comparison : 3748
427)swap count : 7516, And comparison : 3758
428)swap count : 7536, And comparison : 3768
429)swap count : 7556, And comparison : 3778
430)swap count : 7576, And comparison : 3788
431)swap count : 7596, And comparison : 3798
432)swap count : 7616, And comparison : 3808
433)swap count : 7636, And comparison : 3818
434)swap count : 7656, And comparison : 3828
435)swap count : 7676, And comparison : 3838
436)swap count : 7696, And comparison : 3848
437)swap count : 7716, And comparison : 3858
438)swap count : 7736, And comparison : 3868
439)swap count : 7756, And comparison : 3878
440)swap count : 7776, And comparison : 3888
441)swap count : 7796, And comparison : 3898
442)swap count : 7816, And comparison : 3908
443)swap count : 7836, And comparison : 3918
444)swap count : 7856, And comparison : 3928
445)swap count : 7876, And comparison : 3938
446)swap count : 7896, And comparison : 3948
447)swap count : 7916, And comparison : 3958
448)swap count : 7936, And comparison : 3968
449)swap count : 7956, And comparison : 3978
450)swap count : 7976, And comparison : 3988
451)swap count : 7996, And comparison : 3998
452)swap count : 8016, And comparison : 4008
453)swap count : 8036, And comparison : 4018
454)swap count : 8056, And comparison : 4028
455)swap count : 8076, And comparison : 4038
456)swap count : 8096, And comparison : 4048
457)swap count : 8116, And comparison : 4058
458)swap count : 8136, And comparison : 4068
459)swap count : 8156, And comparison : 4078
460)swap count : 8176, And comparison : 4088
461)swap count : 8196, And comparison : 4098
462)swap count : 8216, And comparison : 4108
463)swap count : 8236, And comparison : 4118
464)swap count : 8256, And comparison : 4128
465)swap count : 8276, And comparison : 4138
466)swap count : 8296, And comparison : 4148
467)swap count : 8316, And comparison : 4158
468)swap count : 8336, And comparison : 4168
469)swap count : 8356, And comparison : 4178
470)swap count : 8376, And comparison : 4188
471)swap count : 8396, And comparison : 4198
472)swap count : 8416, And comparison : 4208
473)swap count : 8436, And comparison : 4218
474)swap count : 8456, And comparison : 4228
475)swap count : 8476, And comparison : 4238
476)swap count : 8496, And comparison : 4248
477)swap count : 8516, And comparison : 4258
478)swap count : 8536, And comparison : 4268
479)swap count : 8556, And comparison : 4278
480)swap count : 8576, And comparison : 4288
481)swap count : 8596, And comparison : 4298
482)swap count : 8616, And comparison : 4308
483)swap count : 8636, And comparison : 4318
484)swap count : 8656, And comparison : 4328
485)swap count : 8676, And comparison : 4338
486)swap count : 8696, And comparison : 4348
487)swap count : 8716, And comparison : 4358
488)swap count : 8736, And comparison : 4368
489)swap count : 8756, And comparison : 4378
490)swap count : 8776, And comparison : 4388
491)swap count : 8796, And comparison : 4398
492)swap count : 8816, And comparison : 4408
493)swap count : 8836, And comparison : 4418
494)swap count : 8856, And comparison : 4428
495)swap count : 8876, And comparison : 4438
496)swap count : 8896, And comparison : 4448
497)swap count : 8916, And comparison : 4458
498)swap count : 8936, And comparison : 4468
499)swap count : 8956, And comparison : 4478
500)swap count : 8976, And comparison : 4488
501)swap count : 8996, And comparison : 4498
502)swap count : 9016, And comparison : 4508
503)swap count : 9036, And comparison : 4518
504)swap count : 9056, And comparison : 4528
505)swap count : 9076, And comparison : 4538
506)swap count : 9096, And comparison : 4548
507)swap count : 9116, And comparison : 4558
508)swap count : 9136, And comparison : 4568
509)swap count : 9156, And comparison : 4578
510)swap count : 9176, And comparison : 4588
511)swap count : 9196, And comparison : 4598
512)swap count : 9216, And comparison : 4608
513)swap count : 9238, And comparison : 4619
514)swap count : 9260, And comparison : 4630
515)swap count : 9282, And comparison : 4641
516)swap count : 9304, And comparison : 4652
517)swap count : 9326, And comparison : 4663
518)swap count : 9348, And comparison : 4674
